Letter;Path
alefHamzaabove-ar.fina;M212,293v-60l-68,10c-37,5-69-15-69-44c0-21,16-33,37-33c17,0,31,10,38,23l46-6c-5-48-36-77-81-77c-49,0-87,37-87,85c0,27,13,50,34,63l-52,7v60ZM266,961v-60c-79,0-116-40-116-125v-407h-70v407c0,140,53,205,166,205Z
alef-ar;M150,981v-773h-70v773Z
alef-ar.fina;M236,981l20-20v-60c-85,0-116-33-116-125v-568h-70v568c0,140,50,205,161,205Z
alefMadda-ar;M-42,347h46c0-20,8-33,32-33c49,0,85,17,141,17c23,0,43-5,60-14v-55c-19,8-39,11-60,11c-47,0-92-17-141-17c-47,0-78,36-78,91ZM140,981v-612h-70v612Z
alefMadda-ar.fina;M-32,347h46c0-20,8-33,32-33c49,0,85,17,141,17c23,0,43-5,60-14v-55c-19,8-39,11-60,11c-47,0-92-17-141-17c-47,0-78,36-78,91ZM266,961v-60c-79,0-116-40-116-125v-407h-70v407c0,140,53,205,166,205Z
alefHamzaabove-ar;M202,293v-60l-68,10c-37,5-69-15-69-44c0-21,16-33,37-33c17,0,31,10,38,23l46-6c-5-48-36-77-81-77c-49,0-87,37-87,85c0,27,13,50,34,63l-52,7v60ZM140,981v-612h-70v612Z
beh-ar.medi;M299,961v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-103h-70v103c0,99-32,135-113,135l-20,20v60c87,0,137-30,150-94c15,64,62,94,149,94ZM179,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
beh-ar.init;M-20,981h20c132,0,192-65,192-208c0-51-5-115-14-180h-73c11,76,17,137,17,180c0,88-29,128-122,128l-20,20ZM162,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
beh-ar;M803,773c0-51-3-115-10-180h-75c9,76,15,137,15,180c0,105-79,137-316,137c-201,0-287-49-287-165c0-31,8-76,17-117h-70c-11,37-17,87-17,132c0,161,108,230,357,230c269,0,386-65,386-217ZM483,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
beh-ar.fina;M899,981l20-20v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-103h-70v103c0,115-63,144-316,144c-201,0-287-49-287-165c0-31,8-76,17-117h-70c-11,37-17,87-17,132c0,161,108,230,357,230c199,0,307-35,332-110c12,68,61,101,150,101ZM483,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
alef-ar;M596,927v-1c35,45,103,64,223,64c277,0,407-77,407-221c0-92-60-186-193-186c-157,0-291,128-368,307c-39-17-54-46-62-95l-10-62h-71l14,86c5,39,9,72,9,101c0,117-66,172-207,172c-153,0-208-69-207-200c1-36,7-79,16-124h-70c-9,49-15,98-16,139c-1,167,80,265,277,265c169,0,258-88,258-245ZM1028,664c92,0,128,58,128,105c0,91-101,141-317,141c-47,0-86-2-115-6c35-71,79-128,132-173c53-45,111-67,172-67Z
sad-ar.fina;M596,927v-1c35,45,103,64,223,64c155,0,264-24,329-69c35,41,82,60,143,60l20-20v-60c-55,0-89-11-112-32c17-29,27-63,27-100c0-92-60-186-193-186c-157,0-291,128-368,307c-39-17-54-46-62-95l-10-62h-71l14,86c5,39,9,72,9,101c0,117-66,172-207,172c-153,0-208-69-207-200c1-36,7-79,16-124h-70c-9,49-15,98-16,139c-1,167,80,265,277,265c169,0,258-88,258-245ZM1028,664c92,0,128,58,128,105c0,91-101,141-317,141c-47,0-86-2-115-6c35-71,79-128,132-173c53-45,111-67,172-67Z
sad-ar.init;M796,769c0-92-60-186-193-186c-156,0-288,126-366,303c-41-21-54-57-54-110v-43h-70v43c0,91-32,125-113,125l-20,20v60c89,0,139-34,152-106c21,73,105,115,257,115c277,0,407-77,407-221ZM598,664c92,0,128,58,128,105c0,91-101,141-317,141c-45,0-85-2-114-7c35-71,79-128,132-172c53-45,110-67,171-67Z
sad-ar.medi;M796,769c0-92-60-186-193-186c-156,0-288,126-366,303c-41-21-54-57-54-110v-43h-70v43c0,91-32,125-113,125l-20,20v60c89,0,139-34,152-106c21,73,105,115,257,115c155,0,264-24,329-69c35,41,82,60,143,60l20-20v-60c-55,0-89-11-112-32c17-29,27-63,27-100ZM598,664c92,0,128,58,128,105c0,91-101,141-317,141c-45,0-85-2-114-7c35-71,79-128,132-172c53-45,110-67,171-67Z
dal-ar.fina;M550,961v-60c-57,0-78-25-101-86l-118-315h-78l126,338c1,5,4,9,5,14c-51,37-121,58-193,58c-72,0-96-24-96-77h-70c0,107,53,156,166,157c77,1,158-30,219-82c29,52,63,73,120,73Z
dal-ar;M451,833c1-41-14-87-45-138c-31-51-84-117-161-198l-60,54c71,75,122,134,152,177c30,43,45,78,44,107c-1,51-57,75-174,75c-47,0-77-6-91-18c-13-13-20-32-21-59h-70c0,102,39,157,184,157c163,0,241-49,242-157Z
yeh-ar.medi;M299,961v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-103h-70v103c0,99-32,135-113,135l-20,20v60c87,0,137-30,150-94c15,64,62,94,149,94ZM245,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM113,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
yeh-ar.init;M-20,981h20c132,0,192-65,192-208c0-51-5-115-14-180h-73c11,76,17,137,17,180c0,88-29,128-122,128l-20,20ZM208,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM76,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
yeh-ar;M702,974c0-67-31-124-123-139l-139-22c-53-9-78-25-78-57c0-67,76-150,151-150c45,0,76,25,85,73h70c-9-100-57-153-145-153c-106,0-231,126-231,244c0,59,40,108,128,121l127,19c63,9,85,29,85,65c0,90-114,157-265,157c-163,0-237-57-237-177c0-35,5-77,16-122h-70c-11,45-16,93-16,137c0,165,98,242,307,242c190,0,335-102,335-238ZM484,1343c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM352,1343c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
yeh-ar.fina;M717,1052c0-28-12-51-29-71h40l20-20v-60h-229v80h19c68,0,108,26,108,65c0,23-20,43-59,60c-39,17-109,26-210,26c-165,0-247-58-247-177c0-35,5-77,16-122h-70c-11,45-16,93-16,137c0,161,105,242,317,242c242,0,340-77,340-160ZM494,1343c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM362,1343c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
feh-ar.medi;M288,404c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h64c75,0,140-11,195-30c55,19,120,30,189,30h28l20-20v-60h-48c-29,0-59-2-86-5c56-44,86-103,86-170c0-109-79-203-188-203c-100,0-196,87-196,211c0,64,34,120,91,163c-27,3-58,4-91,4h-44l-20,20ZM114,729c0-63,47-126,122-126c37,0,67,14,89,41c22,27,33,58,33,92c0,67-34,115-110,140c-84-28-134-79-134-147Z
feh-ar.init;M254,314c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h150c212,0,274-34,274-249c0-187-76-299-201-299c-100,0-183,100-183,212c0,111,82,175,205,175c48,0,75-4,106-13c-11,91-56,94-201,94h-130l-20,20ZM91,645c0-75,48-132,112-132c79,0,127,78,131,213c-40,11-65,14-108,14c-76,0-135-27-135-95Z
feh-ar.fina;M728,404c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM869,736c0-116-82-213-192-213c-98,0-192,97-192,213c0,65,31,122,88,163c-44,7-95,11-151,11c-189,0-291-27-291-158c0-33,8-75,23-124h-70c-15,53-23,100-23,140c-1,85,31,144,94,175c63,31,152,47,267,47c97,0,185-15,256-40c63,20,140,31,228,31l20-20v-60c-52,0-99-3-140-8c53-41,83-96,83-157ZM555,731c0-64,47-128,122-128c75,0,122,64,122,128c0,60-42,108-118,139c-83-28-126-75-126-139Z
feh-ar;M663,314c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM813,732c0-187-76-299-201-299c-100,0-183,100-183,212c0,111,82,175,205,175c41,0,74-4,103-13c-19,86-91,103-298,103c-206,0-308-27-308-158c0-33,8-75,23-124h-70c-15,53-23,100-23,140c-1,85,31,144,96,175c65,31,159,47,282,47c299,0,374-53,374-258ZM500,645c0-75,48-132,112-132c79,0,128,79,131,214c-33,9-71,13-108,13c-76,0-135-27-135-95Z
ghain-ar.medi;M330,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h80c80,0,154-13,218-34c60,25,135,34,235,34h24l20-20v-60h-44c-47,0-88-2-123-7c72-47,114-108,113-168c-1-100-70-143-214-143c-71,0-154,12-239,36v80l24,40c41,68,80,119,121,156c-29,4-62,6-95,6h-100l-20,20ZM130,695l-8-13c68-15,122-19,167-19c96,0,143,20,144,69c1,53-46,106-133,138c-68-29-117-83-170-175Z
ghain-ar.init;M295,389c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-19,981h128c88,0,188-14,313-45l43-11v-81l-47,10c-31,7-56,11-73,13c-17,1-35,2-55,2c-50,0-92-14-126-43c-33-29-50-64-50-106c0-84,51-132,130-132c61,0,107,36,120,93h70c-9-108-81-173-190-173c-114,0-200,88-200,207c0,83,46,151,114,186h-157l-20,20Z
ghain-ar.fina;M355,374c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM592,981l20-20v-60h-20c-105,0-176-14-235-53c119-57,174-123,174-202c0-108-80-153-248-153c-53,0-135,11-208,34v81l72,107c31,45,59,85,88,118c-135,59-215,127-215,239c0,137,117,221,313,221c85,0,179-21,248-52v-78c-61,27-155,50-248,50c-152,0-243-53-243-141c0-91,73-142,189-190l2-1c76,72,161,100,293,100ZM209,683l-63-94c55-12,98-16,137-16c120,0,178,22,178,79c0,53-48,100-151,149l-7,3c-29-31-61-72-94-121Z
ghain-ar;M339,280c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM566,1241v-78c-59,27-149,50-238,50c-133,0-223-50-223-149c0-120,112-196,353-239l51-9v-81l-47,9c-63,12-88,16-128,16c-50,0-92-14-126-43c-33-29-50-64-50-106c0-84,51-132,130-132c61,0,107,36,120,93h70c-9-108-81-173-190-173c-114,0-200,88-200,207c0,101,68,181,164,209c-136,49-217,141-217,249c0,74,27,131,80,170c53,39,124,59,213,59c83,0,171-21,238-52Z
hah-ar.fina;M594,961v-60c-65,0-98-27-98-86v-75c20-1,42-2,63-2h19v-75h-19c-45,0-84-11-186-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c20,9,38,16,55,21c-259,37-379,169-379,328c0,81,28,145,83,193c55,49,132,73,230,73c85,0,179-21,250-52v-78c-63,27-157,50-250,50c-152,0-243-71-243-191c0-121,102-244,341-276v69c0,113,47,166,148,166Z
hah-ar.init;M58,981c103,0,158-16,265-80l63-37c51-31,88-51,113-61c25-10,48-15,70-15h39v-75h-39c-53,0-92-12-196-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c41,17,73,30,104,38c-23,9-49,22-82,39l-68,36c-91,48-139,60-235,60h-58l-20,20v60Z
hah-ar.medi;M58,981c103,0,158-16,265-80l63-37l74-42c0,107,47,159,148,159l20-20v-60c-65,0-98-27-98-86v-22c13-4,26-5,39-5h39v-75h-39c-53,0-92-12-196-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c41,17,73,30,104,38c-23,9-49,22-82,39l-68,36c-91,48-139,60-235,60h-58l-20,20v60Z
hah-ar;M578,1241v-78c-63,27-157,50-250,50c-152,0-243-71-243-191c0-143,140-284,474-284h19v-75h-19c-45,0-84-11-186-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c20,9,38,16,55,21c-259,37-379,169-379,328c0,81,28,145,83,193c55,49,132,73,230,73c85,0,179-21,250-52Z
jeem-ar.medi;M-20,981h78c103,0,158-16,265-80l63-37l74-42c0,107,47,159,148,159l20-20v-60c-65,0-98-27-98-86v-22c13-4,26-5,39-5h39v-75h-39c-53,0-92-12-196-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c41,17,73,30,104,38c-23,9-49,22-82,39l-68,36c-91,48-139,60-235,60h-58l-20,20ZM369,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
jeem-ar.init;M-20,981h78c103,0,158-16,265-80l63-37c51-31,88-51,113-61c25-10,48-15,70-15h39v-75h-39c-53,0-92-12-196-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c41,17,73,30,104,38c-23,9-49,22-82,39l-68,36c-91,48-139,60-235,60h-58l-20,20ZM369,1112c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
jeem-ar;M578,1241v-78c-63,27-157,50-250,50c-152,0-243-71-243-191c0-143,140-284,474-284h19v-75h-19c-45,0-84-11-186-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c20,9,38,16,55,21c-259,37-379,169-379,328c0,81,28,145,83,193c55,49,132,73,230,73c85,0,179-21,250-52ZM341,1010c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
jeem-ar.fina;M594,961v-60c-65,0-98-27-98-86v-75c20-1,42-2,63-2h19v-75h-19c-45,0-84-11-186-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c20,9,38,16,55,21c-259,37-379,169-379,328c0,81,28,145,83,193c55,49,132,73,230,73c85,0,179-21,250-52v-78c-63,27-157,50-250,50c-152,0-243-71-243-191c0-121,102-244,341-276v69c0,113,47,166,148,166ZM341,1010c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51Z
kaf-ar;M676,786v-578h-70v572c0,106-51,130-256,130c-111,0-216-6-320-18v80c99,12,208,18,320,18c121,0,205-15,253-44c49-30,73-83,73-160ZM463,646c0-44-24-64-73-64h-32c-20,0-25-3-25-14c0-21,36-48,96-71v-60c-93,37-150,90-150,145c0,37,22,56,71,56h32c20,0,27,4,27,13c0,29-55,42-171,42v60c153,0,225-34,225-107Z
kaf-ar.medi;M112,981c84,0,136-39,148-102c45,69,104,102,181,102l20-20v-60c-72,0-108-28-184-139l-175-265l338-197l1-92l-418,245v68l152,229c32,48,40,67,40,88c0,37-35,63-103,63h-112l-20,20v60Z
kaf-ar.init;M202,981c112,0,172-61,172-145c0-61-36-118-129-209l-140-136l335-191l1-92l-418,245v68l180,172c37,35,63,63,78,83c15,19,23,39,23,60c0,35-27,65-92,65h-212l-20,20v60Z
kaf-ar.fina;M842,981l20-20v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-558h-70v518c0,125-102,184-319,184c-148,0-227-55-227-156c0-39,9-85,21-126h-70c-11,37-21,94-21,138c0,145,104,224,297,224c166,0,294-56,326-132c11,84,62,123,159,123ZM523,646c0-44-24-64-73-64h-32c-20,0-25-3-25-14c0-21,36-48,96-71v-60c-93,37-150,90-150,145c0,37,22,56,71,56h32c20,0,27,4,27,13c0,29-55,42-171,42v60c153,0,225-34,225-107Z
lam-ar.fina;M701,981l20-20v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-558h-70v702c0,128-63,182-202,182c-151,0-203-69-202-200c1-36,7-79,16-124h-70c-9,49-15,98-16,139c-1,167,79,265,272,265c165,0,252-87,253-244c20,36,58,53,115,53Z
lam-ar.medi;M299,961v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-558h-70v558c0,99-32,135-113,135l-20,20v60c87,0,137-30,150-94c15,64,62,94,149,94Z
lam-ar.init;M10,981c120,0,176-68,176-215v-558h-70v538c0,63-8,104-24,125c-15,20-46,30-92,30l-20,20v60Z
lam-ar;M616,862v-654h-70v655c0,167-71,229-212,229c-151,0-204-69-203-200c1-36,7-79,16-124h-70c-9,49-15,98-16,139c-1,167,78,265,273,265c184,0,282-109,282-310Z
meem-ar;M126,1293v-315c0-49,22-72,81-79c29,56,87,91,166,91h4c59,0,105-18,138-53c33-35,50-80,50-134c0-119-74-220-188-220h-4c-114,0-188,101-188,220c0,5,0,14,1,19c-88,13-130,63-130,150v321ZM255,803c0-38,11-71,32-98c21-28,50-42,86-42h4c36,0,65,14,86,42c21,27,32,60,32,98c0,63-45,107-118,107h-4c-73,0-118-44-118-107Z
meem-ar.init;M526,799c0-123-79-216-184-216c-92,0-146,54-195,170l-11,26c-21,48-40,80-57,97c-17,17-43,25-79,25l-20,20v60c81,0,128-19,165-72c49,53,114,81,191,81c120,0,190-71,190-191ZM199,804l11-26c36-84,71-115,128-115c33,0,61,13,84,39c23,26,34,58,34,97c0,76-40,111-121,111c-57,0-114-25-154-66c5-12,13-27,18-40Z
meem-ar.medi;M641,981l20-20v-60c-52,0-83-25-119-109l-12-27c-64-145-118-182-201-182c-80,0-144,50-192,162l-31,75c-21,55-49,81-106,81l-20,20v60c92,0,145-24,178-120c12,81,72,129,161,129c88,0,150-45,173-121c45,84,92,112,149,112ZM203,798c0-36,11-67,33-94c23-27,52-41,88-41c49,0,90,31,126,115l11,26l1,3c-5,65-58,103-142,103c-73,0-117-43-117-112Z
