Letter;Path
meem-ar.fina;M126,1293v-315c0-48,21-71,78-78c29,57,91,90,172,90c84,0,144-41,169-110c44,75,88,101,143,101l20-20v-60c-52,0-82-25-119-109l-12-27c-64-145-118-182-201-182c-109,0-191,99-191,230v9c-88,13-129,63-129,150v321ZM255,803c0-80,51-140,119-140c45,0,87,31,123,115l11,26l9,20c-13,55-64,86-140,86c-73,0-122-42-122-107Z
noon-ar.medi;M200,544c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM299,961v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-103h-70v103c0,99-32,135-113,135l-20,20v60c87,0,137-30,150-94c15,64,62,94,149,94Z
noon-ar.init;M177,474c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h20c132,0,192-65,192-208c0-51-5-115-14-180h-73c11,76,17,137,17,180c0,88-29,128-122,128l-20,20Z
noon-ar;M389,594c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM615,895c0-41-5-116-16-197h-72c15,96,18,162,18,203c0,133-64,191-201,191c-159,0-214-69-213-200c1-36,7-79,16-124h-70c-9,49-15,98-16,139c-1,167,80,265,275,265c175,0,279-90,279-277Z
noon-ar.fina;M389,594c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM708,981l20-20v-60c-84,0-112-25-123-93l-12-75h-71l14,86c5,39,9,72,9,101c0,117-66,172-207,172c-153,0-208-69-207-200c1-36,7-79,16-124h-70c-9,49-15,98-16,139c-1,167,80,265,277,265c164,0,253-83,258-232c23,28,59,41,112,41Z
waw-ar;M419,905c0-211-80-322-193-322c-111,0-191,104-191,212c0,125,77,195,205,195c48,0,74-4,105-13c-13,113-67,155-167,155c-47,0-98-10-133-19v84c33,8,85,15,130,15c164,0,244-96,244-307ZM106,795c0-63,40-132,115-132c79,0,127,78,128,233c-40,11-65,14-108,14c-84,0-135-42-135-115Z
waw-ar.fina;M444,981l20-20v-60h-45c0-207-80-318-193-318c-111,0-191,103-191,220c0,109,71,178,238,178h72c-15,111-67,151-167,151c-47,0-98-10-133-19v84c33,8,85,15,130,15c143,0,223-72,240-231ZM349,901h-75c-120,0-168-29-168-101c0-68,40-137,115-137c80,0,127,79,128,238Z
qaf-ar.fina;M597,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM465,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM696,981l20-20v-60h-38c-3-204-74-318-198-318c-105,0-188,102-188,217c0,113,74,181,205,181h107c-15,111-80,151-227,151c-171,0-247-72-247-200c0-45,5-90,16-139h-70c-11,49-16,100-16,139c0,184,100,280,317,280c180,0,277-75,297-231ZM608,901h-110c-84,0-135-29-135-101c0-68,42-137,112-137c83,0,129,79,133,238Z
qaf-ar;M593,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM461,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM678,912c0-211-73-329-202-329c-99,0-182,102-182,217c0,113,74,181,185,181c48,0,86-4,127-13c-12,120-77,164-229,164c-171,0-247-72-247-200c0-45,5-90,16-139h-70c-11,49-16,100-16,139c0,184,100,280,317,280c205,0,301-96,301-300ZM365,800c0-68,42-137,112-137c77,0,125,75,130,223c-44,11-78,15-127,15c-65,0-115-29-115-101Z
qaf-ar.medi;M354,404c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM222,404c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h64c75,0,140-11,195-30c55,19,120,30,189,30h28l20-20v-60h-48c-29,0-59-2-86-5c56-44,86-103,86-170c0-109-79-203-188-203c-100,0-196,87-196,211c0,64,34,120,91,163c-27,3-58,4-91,4h-44l-20,20ZM114,729c0-63,47-126,122-126c37,0,67,14,89,41c22,27,33,58,33,92c0,67-34,115-110,140c-84-28-134-79-134-147Z
qaf-ar.init;M320,314c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM188,314c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h150c212,0,274-34,274-249c0-187-76-299-201-299c-100,0-183,100-183,212c0,111,82,175,205,175c48,0,75-4,106-13c-11,91-56,94-201,94h-130l-20,20ZM91,645c0-75,48-132,112-132c79,0,127,78,131,213c-40,11-65,14-108,14c-76,0-135-27-135-95Z
reh-ar.fina;M322,981l20-20v-60c-65,0-106-32-115-104l-20-134h-68c15,80,22,149,22,237c0,145-59,232-158,232c-25,0-54-3-83-8v80c32,5,63,8,88,8c120,0,198-103,210-279c21,29,59,48,104,48Z
reh-ar;M231,900c0-103-12-195-25-272h-75c19,93,30,185,30,272c0,159-50,232-158,232c-25,0-54-3-83-8v80c32,5,63,8,88,8c152,0,223-99,223-312Z
seen-ar.fina;M693,990c68,0,107-33,118-101c16,64,66,101,127,101c72,0,111-34,122-103c16,60,68,94,147,94l20-20v-60c-77,0-116-36-116-115v-88h-70v88c0,77-36,124-93,124c-59,0-86-40-86-124v-53h-70v53c0,77-33,124-89,124c-53,0-86-26-99-102l-14-75h-71l16,86c7,39,9,72,9,101c0,117-66,172-207,172c-151,0-207-66-207-185c0-40,7-87,19-139h-70c-13,56-19,107-19,152c1,159,88,252,277,252c164,0,253-83,258-231c24,33,58,49,98,49Z
seen-ar;M694,990c72,0,111-34,122-102c17,65,73,102,144,102c96,0,153-63,153-198c0-37-4-82-12-130h-74c11,53,16,97,16,130c0,88-30,118-83,118c-52,0-93-39-93-124v-53h-70v53c0,77-36,124-93,124c-53,0-86-26-99-102l-14-75h-71l16,86c7,39,9,72,9,101c0,117-66,172-207,172c-151,0-207-67-207-184c-1-41,7-88,19-140h-70c-13,57-20,110-19,155c3,156,89,249,277,249c164,0,253-83,258-230c24,33,58,48,98,48Z
seen-ar.medi;M787,981l20-20v-60c-80,0-116-36-116-115v-88h-70v88c0,77-32,124-89,124c-49,0-90-39-90-124l-1-53h-70l1,53c0,85-38,124-90,124c-68,0-99-40-99-124l-1-53h-70l1,53c0,79-42,115-113,115l-20,20v60c88,0,138-30,151-95c15,65,65,104,141,104c65,0,107-34,118-102c16,65,67,102,131,102c63,0,106-33,118-104c17,60,68,95,148,95Z
seen-ar.init;M688,792c0-37-4-82-13-130h-74c12,53,17,97,17,130c0,88-33,118-86,118c-49,0-90-39-90-124l-1-53h-70l1,53c0,85-38,124-90,124c-68,0-99-40-99-124l-1-53h-70l1,53c0,79-42,115-113,115l-20,20v60c88,0,138-30,151-95c15,65,65,104,141,104c65,0,107-34,119-103c17,65,73,103,141,103c96,0,156-63,156-198Z
teh-ar.medi;M266,544c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM134,544c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM299,961v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-103h-70v103c0,99-32,135-113,135l-20,20v60c87,0,137-30,150-94c15,64,62,94,149,94Z
teh-ar.init;M243,474c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM111,474c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h20c132,0,192-65,192-208c0-51-5-115-14-180h-73c11,76,17,137,17,180c0,88-29,128-122,128l-20,20Z
teh-ar.fina;M549,554c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM417,554c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM899,981l20-20v-60c-45,0-75-8-92-25c-16-17-24-54-24-110v-103h-70v103c0,115-63,144-316,144c-201,0-287-49-287-165c0-31,8-76,17-117h-70c-11,37-17,87-17,132c0,161,108,230,357,230c199,0,307-35,332-110c12,68,61,101,150,101Z
teh-ar;M549,554c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM417,554c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM803,773c0-51-3-115-10-180h-75c9,76,15,137,15,180c0,105-79,137-316,137c-201,0-287-49-287-165c0-31,8-76,17-117h-70c-11,37-17,87-17,132c0,161,108,230,357,230c269,0,386-65,386-217Z
feh-ar.medi;M288,404c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h64c75,0,140-11,195-30c55,19,120,30,189,30h28l20-20v-60h-48c-29,0-59-2-86-5c56-44,86-103,86-170c0-109-79-203-188-203c-100,0-196,87-196,211c0,64,34,120,91,163c-27,3-58,4-91,4h-44l-20,20ZM114,729c0-63,47-126,122-126c37,0,67,14,89,41c22,27,33,58,33,92c0,67-34,115-110,140c-84-28-134-79-134-147Z
feh-ar.init;M254,314c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h150c212,0,274-34,274-249c0-187-76-299-201-299c-100,0-183,100-183,212c0,111,82,175,205,175c48,0,75-4,106-13c-11,91-56,94-201,94h-130l-20,20ZM91,645c0-75,48-132,112-132c79,0,127,78,131,213c-40,11-65,14-108,14c-76,0-135-27-135-95Z
feh-ar.fina;M728,404c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM869,736c0-116-82-213-192-213c-98,0-192,97-192,213c0,65,31,122,88,163c-44,7-95,11-151,11c-189,0-291-27-291-158c0-33,8-75,23-124h-70c-15,53-23,100-23,140c-1,85,31,144,94,175c63,31,152,47,267,47c97,0,185-15,256-40c63,20,140,31,228,31l20-20v-60c-52,0-99-3-140-8c53-41,83-96,83-157ZM555,731c0-64,47-128,122-128c75,0,122,64,122,128c0,60-42,108-118,139c-83-28-126-75-126-139Z
feh-ar;M663,314c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM813,732c0-187-76-299-201-299c-100,0-183,100-183,212c0,111,82,175,205,175c41,0,74-4,103-13c-19,86-91,103-298,103c-206,0-308-27-308-158c0-33,8-75,23-124h-70c-15,53-23,100-23,140c-1,85,31,144,96,175c65,31,159,47,282,47c299,0,374-53,374-258ZM500,645c0-75,48-132,112-132c79,0,128,79,131,214c-33,9-71,13-108,13c-76,0-135-27-135-95Z
khah-ar.fina;M308,436c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM594,961v-60c-65,0-98-27-98-86v-75c20-1,42-2,63-2h19v-75h-19c-45,0-84-11-186-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c20,9,38,16,55,21c-259,37-379,169-379,328c0,81,28,145,83,193c55,49,132,73,230,73c85,0,179-21,250-52v-78c-63,27-157,50-250,50c-152,0-243-71-243-191c0-121,102-244,341-276v69c0,113,47,166,148,166Z
khah-ar;M308,436c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM578,1241v-78c-63,27-157,50-250,50c-152,0-243-71-243-191c0-143,140-284,474-284h19v-75h-19c-45,0-84-11-186-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c20,9,38,16,55,21c-259,37-379,169-379,328c0,81,28,145,83,193c55,49,132,73,230,73c85,0,179-21,250-52Z
khah-ar.medi;M263,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h78c103,0,158-16,265-80l63-37l74-42c0,107,47,159,148,159l20-20v-60c-65,0-98-27-98-86v-22c13-4,26-5,39-5h39v-75h-39c-53,0-92-12-196-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c41,17,73,30,104,38c-23,9-49,22-82,39l-68,36c-91,48-139,60-235,60h-58l-20,20Z
khah-ar.init;M263,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM-20,981h78c103,0,158-16,265-80l63-37c51-31,88-51,113-61c25-10,48-15,70-15h39v-75h-39c-53,0-92-12-196-57l-89-39c-57-25-91-34-127-34c-75,0-121,49-126,130h70c5-31,24-50,55-50c25,0,50,7,94,26l89,39c41,17,73,30,104,38c-23,9-49,22-82,39l-68,36c-91,48-139,60-235,60h-58l-20,20Z
zain-ar.fina;M206,544c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM322,981l20-20v-60c-65,0-106-32-115-104l-20-134h-68c15,80,22,149,22,237c0,145-59,232-158,232c-25,0-54-3-83-8v80c32,5,63,8,88,8c120,0,198-103,210-279c21,29,59,48,104,48Z
zain-ar;M208,509c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM231,900c0-103-12-195-25-272h-75c19,93,30,185,30,272c0,159-50,232-158,232c-25,0-54-3-83-8v80c32,5,63,8,88,8c152,0,223-99,223-312Z
tehMarbuta-ar.fina;M360,339c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM228,339c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM486,961v-60c-65,0-90-30-90-107v-336h-70v78l-158,82c-96,49-142,107-142,182c0,100,63,160,167,160c72,0,119-26,142-85c13,76,55,106,131,106ZM96,800c0-53,37-95,110-132l120-63v164c0,76-41,111-133,111c-61,0-97-31-97-80Z
tehMarbuta-ar;M357,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM225,464c0-29-22-51-51-51c-29,0-51,22-51,51c0,29,22,51,51,51c29,0,51-22,51-51ZM238,990h4c59,0,105-18,138-53c33-35,50-80,50-134c0-119-74-220-188-220h-4c-114,0-188,101-188,220c0,54,16,99,49,134c33,35,80,53,139,53ZM120,803c0-38,11-71,32-98c21-28,50-42,86-42h4c36,0,65,14,86,42c21,27,32,60,32,98c0,63-45,107-118,107h-4c-73,0-118-44-118-107Z
ain-ar.fina;M592,981l20-20v-60h-20c-105,0-176-14-235-53c119-57,174-123,174-202c0-108-80-153-248-153c-53,0-135,11-208,34v81l72,107c31,45,59,85,88,118c-135,59-215,127-215,239c0,137,117,221,313,221c85,0,179-21,248-52v-78c-61,27-155,50-248,50c-152,0-243-53-243-141c0-91,73-142,189-190l2-1c76,72,161,100,293,100ZM209,683l-63-94c55-12,98-16,137-16c120,0,178,22,178,79c0,53-48,100-151,149l-7,3c-29-31-61-72-94-121Z
ain-ar.init;M109,981c88,0,188-14,313-45l43-11v-81l-47,10c-31,7-56,11-73,13c-17,1-35,2-55,2c-50,0-92-14-126-43c-33-29-50-64-50-106c0-84,51-132,130-132c61,0,107,36,120,93h70c-9-108-81-173-190-173c-114,0-200,88-200,207c0,83,46,151,114,186h-157l-20,20v60Z
ain-ar.medi;M-20,981h80c80,0,154-13,218-34c60,25,135,34,235,34h24l20-20v-60h-44c-47,0-88-2-123-7c72-47,114-108,113-168c-1-100-70-143-214-143c-71,0-154,12-239,36v80l24,40c41,68,80,119,121,156c-29,4-62,6-95,6h-100l-20,20ZM130,695l-8-13c68-15,122-19,167-19c96,0,143,20,144,69c1,53-46,106-133,138c-68-29-117-83-170-175Z
ain-ar;M566,1241v-78c-59,27-149,50-238,50c-133,0-223-50-223-149c0-120,112-196,353-239l51-9v-81l-47,9c-63,12-88,16-128,16c-50,0-92-14-126-43c-33-29-50-64-50-106c0-84,51-132,130-132c61,0,107,36,120,93h70c-9-108-81-173-190-173c-114,0-200,88-200,207c0,101,68,181,164,209c-136,49-217,141-217,249c0,74,27,131,80,170c53,39,124,59,213,59c83,0,171-21,238-52Z
alefMaksura-ar.fina;M717,1052c0-28-12-51-29-71h40l20-20v-60h-229v80h19c68,0,108,26,108,65c0,23-20,43-59,60c-39,17-109,26-210,26c-165,0-247-58-247-177c0-35,5-77,16-122h-70c-11,45-16,93-16,137c0,161,105,242,317,242c242,0,340-77,340-160Z
alefMaksura-ar;M702,974c0-67-31-124-123-139l-139-22c-53-9-78-25-78-57c0-67,76-150,151-150c45,0,76,25,85,73h70c-9-100-57-153-145-153c-106,0-231,126-231,244c0,59,40,108,128,121l127,19c63,9,85,29,85,65c0,90-114,157-265,157c-163,0-237-57-237-177c0-35,5-77,16-122h-70c-11,45-16,93-16,137c0,165,98,242,307,242c190,0,335-102,335-238Z
tah-ar.fina;M-20,981h256c152,0,262-21,327-62c35,41,82,62,145,62l20-20v-60c-56,0-90-12-113-33c19-27,28-60,28-99c0-92-60-186-193-186c-101,0-195,54-268,142v-517h-70v620c-13,23-25,48-34,73h-98ZM445,664c92,0,128,58,128,105c0,91-101,132-317,132h-113c35-70,79-127,132-171c53-44,109-66,170-66Z
tah-ar.init;M-20,981h256c277,0,407-68,407-212c0-92-60-186-193-186c-101,0-195,54-268,142v-517h-70v620c-13,23-25,48-34,73h-78l-20,20ZM445,664c92,0,128,58,128,105c0,91-101,132-317,132h-113c35-70,79-127,132-171c53-44,109-66,170-66Z
tah-ar.medi;M-20,981h256c152,0,262-21,327-62c35,41,82,62,145,62l20-20v-60c-56,0-90-12-113-33c19-27,28-60,28-99c0-92-60-186-193-186c-101,0-195,54-268,142v-517h-70v620c-13,23-25,48-34,73h-78l-20,20ZM445,664c92,0,128,58,128,105c0,91-101,132-317,132h-113c35-70,79-127,132-171c53-44,109-66,170-66Z
tah-ar;M-20,981h256c277,0,407-73,407-212c0-92-60-186-193-186c-101,0-195,54-268,142v-517h-70v620c-13,23-25,48-34,73h-98ZM445,664c92,0,128,58,128,105c0,84-101,132-317,132h-113c35-70,79-127,132-171c53-44,109-66,170-66Z